date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
2020-12-14T00:00:00Z,1.66E+07,194314,216957,305274,1656,2566.571,50235.755,587.047,655.454,922.271,5.003,7.754,1.05,25560,77.22,109674,331.339,,,,,1491318,2.29E+08,690.555,4.505,1818794,5.495,0.12,8.3,tests performed,,,,,,,,,,71.76,3.31E+08,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
2020-12-15T00:00:00Z,1.68E+07,208992,214748.429,308365,3091,2633.571,50867.146,631.391,648.782,931.609,9.338,7.956,1.04,25812,77.981,110978,335.278,,,,,1942406,2.31E+08,696.423,5.868,1823044,5.508,0.117,8.5,tests performed,,,,,,,,,,71.76,3.31E+08,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
2020-12-16T00:00:00Z,1.71E+07,246644,218176.429,312045,3680,2705.143,51612.288,745.142,659.138,942.727,11.118,8.173,1.04,25970,78.459,111984,338.318,,,,,2075056,2.33E+08,702.692,6.269,1816271,5.487,0.118,8.5,tests performed,,,,,,,,,,71.76,3.31E+08,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
2020-12-17T00:00:00Z,1.73E+07,239900,219386.714,315544,3499,2777.286,52337.056,724.768,662.794,953.298,10.571,8.391,1.03,25890,78.217,112422,339.641,,,,,2050453,2.35E+08,708.887,6.195,1797714,5.431,0.121,8.3,tests performed,,,,,,,,,,71.76,3.31E+08,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
2020-12-18T00:00:00Z,1.76E+07,251832,221064.286,318513,2969,2714.857,53097.871,760.816,667.863,962.267,8.97,8.202,1.02,25948,78.392,112091,338.641,,,,,2019883,2.37E+08,714.989,6.102,1792755,5.416,0.12,8.3,tests performed,,,,,,,,,,71.76,3.31E+08,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
2020-12-19T00:00:00Z,1.78E+07,192102,217393.571,321186,2673,2743.286,53678.235,580.364,656.773,970.343,8.075,8.288,0.99,25802,77.951,111066,335.544,,,,,1710198,2.38E+08,720.156,5.167,1791145,5.411,0.119,8.4,tests performed,,,,,,,,,,71.76,3.31E+08,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
2020-12-20T00:00:00Z,1.80E+07,188015,217399.857,322916,1730,2756.857,54246.252,568.017,656.792,975.569,5.227,8.329,0.99,26055,78.715,112375,339.499,,,104949,317.064,1275553,2.40E+08,724.009,3.854,1794981,5.423,0.118,8.5,tests performed,556208,556208,,,,0.17,0.17,,,71.76,3.31E+08,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,46.66
2020-12-21T00:00:00Z,1.82E+07,198703,218026.857,324820,1904,2792.286,54846.558,600.306,658.686,981.321,5.752,8.436,0.97,26429,79.845,114615,346.266,,,,317.064,1525812,2.41E+08,728.619,4.61,1799909,5.438,0.116,8.6,tests performed,614117,614117,,57909,57909,0.18,0.18,,173,71.76,3.31E+08,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
2020-12-22T00:00:00Z,1.84E+07,198107,216471.857,328216,3396,2835.857,55445.064,598.506,653.988,991.581,10.26,8.567,0.95,26729,80.752,117492,354.958,,,,317.064,1985408,2.43E+08,734.617,5.998,1806052,5.456,0.116,8.6,tests performed,,,,,127432,,,,381,71.76,3.31E+08,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
2020-12-23T00:00:00Z,1.86E+07,229624,214040.429,331641,3425,2799.429,56138.787,693.723,646.643,1001.929,10.347,8.457,0.94,26925,81.344,118075,356.719,,,,317.064,2276884,2.45E+08,741.496,6.879,1834884,5.543,0.114,8.8,tests performed,1008025,1008025,,,150606,0.3,0.3,,450,71.76,3.31E+08,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
